method,k,split,item_pool,domain,corr_err,corr_sim
direct_calibrated,5,test,unseen,Environment,0.20564174206272456,0.14539547786493479
direct_calibrated,5,test,unseen,Role of Government,0.1760168856678719,-0.000617330820216168
direct_calibrated,5,test,unseen,Social Inequality,0.24324582361549643,0.022265428729117246
direct_calibrated,5,test,unseen,Work Orientations,0.20350518219822883,-0.02754287060272933
direct_raw,5,test,unseen,Environment,0.23622990087693224,-0.04415777486298606
direct_raw,5,test,unseen,Role of Government,0.18292954137047512,0.0009380305369328831
direct_raw,5,test,unseen,Social Inequality,0.24585447798547297,-0.17305775409504118
direct_raw,5,test,unseen,Work Orientations,0.20698025369032066,0.007676046845169325
direct_scalar,5,test,unseen,Environment,0.2416345504730527,-0.09921793219770145
direct_scalar,5,test,unseen,Role of Government,0.17822173382935416,0.032438573662943865
direct_scalar,5,test,unseen,Social Inequality,0.24713628155196798,-0.19983698636754268
direct_scalar,5,test,unseen,Work Orientations,0.20519103129391172,0.016812142053033774
raw_final,5,test,unseen,Environment,0.27088102624650007,0.2898101381170864
raw_final,5,test,unseen,Role of Government,0.3235992035221548,0.10935924041026113
raw_final,5,test,unseen,Social Inequality,0.3223114720842052,0.3509302378632189
raw_final,5,test,unseen,Work Orientations,0.3059000429779339,0.3489427826270318
raw_mean,5,test,unseen,Environment,0.5199808573011738,0.15868751076731688
raw_mean,5,test,unseen,Role of Government,0.37698781806065534,0.08532416705066928
raw_mean,5,test,unseen,Social Inequality,0.5740882605116984,-0.06053090283807662
raw_mean,5,test,unseen,Work Orientations,0.4637812324367431,0.30503297293124043
input_centric,5,test,unseen,Environment,0.3410018924941027,0.3040105034301379
input_centric,5,test,unseen,Role of Government,0.32185934902844837,0.17535494162805143
input_centric,5,test,unseen,Social Inequality,0.3281660755827532,0.3663428901940008
input_centric,5,test,unseen,Work Orientations,0.5253291610676635,0.3516234761883299
response_centric,5,test,unseen,Environment,0.45269800152581635,0.1976463088061824
response_centric,5,test,unseen,Role of Government,0.30016191587331065,0.21823578630440404
response_centric,5,test,unseen,Social Inequality,0.41258447662803477,0.3033561224147459
response_centric,5,test,unseen,Work Orientations,0.4453841388559686,0.3719019823431964
sentence,5,test,unseen,Environment,0.5686935909504754,0.3099680692376608
sentence,5,test,unseen,Role of Government,0.4339742498498501,0.17389067818955917
sentence,5,test,unseen,Social Inequality,0.4460349867771559,0.4960375941674299
sentence,5,test,unseen,Work Orientations,0.679561777837747,0.2387675044675429
response_centric_aligned,5,test,unseen,Environment,0.40907630127168304,0.22151931011536308
response_centric_aligned,5,test,unseen,Role of Government,0.3159289835547014,0.05586652442273565
response_centric_aligned,5,test,unseen,Social Inequality,0.366957271234054,0.3566161599506634
response_centric_aligned,5,test,unseen,Work Orientations,0.47235614771487705,0.2836119712999061
raw_mean_aligned,5,test,unseen,Environment,0.4915574235757387,0.1185655550332607
raw_mean_aligned,5,test,unseen,Role of Government,0.581652897531267,0.03762930673432425
raw_mean_aligned,5,test,unseen,Social Inequality,0.48156583156533644,0.08306313702837984
raw_mean_aligned,5,test,unseen,Work Orientations,0.5797213666778255,0.07897459291032623
sentence_aligned,5,test,unseen,Environment,0.4386623734317952,0.11651578635393227
sentence_aligned,5,test,unseen,Role of Government,0.4050010168418772,0.05069484081353898
sentence_aligned,5,test,unseen,Social Inequality,0.37201232188433797,0.44588350670480215
sentence_aligned,5,test,unseen,Work Orientations,0.5620261042225713,0.2647608032631688
input_centric_aligned,5,test,unseen,Environment,0.3933909234668631,0.18741979425429833
input_centric_aligned,5,test,unseen,Role of Government,0.4214913431046051,0.001741663019203442
input_centric_aligned,5,test,unseen,Social Inequality,0.38687226504518496,0.40202394581275946
input_centric_aligned,5,test,unseen,Work Orientations,0.5798471179624979,0.21616127743227406
respondent_vec,5,test,unseen,Environment,0.344018610047057,0.22550387205983632
respondent_vec,5,test,unseen,Role of Government,0.29517716885516315,0.17830235634458635
respondent_vec,5,test,unseen,Social Inequality,0.3275820878126399,0.28471404254306826
respondent_vec,5,test,unseen,Work Orientations,0.357362592740771,0.4058053396941125
direct_selected,5,test,unseen,Environment,0.2221789896255923,0.055047964159126855
direct_selected,5,test,unseen,Role of Government,0.1853736357930326,-0.06448474386073175
direct_selected,5,test,unseen,Social Inequality,0.2381226203458595,0.03864683954093628
direct_selected,5,test,unseen,Work Orientations,0.20506727095276167,-0.06892546670560462
raw_selected,5,test,unseen,Environment,0.5199808573011738,0.15868751076731688
raw_selected,5,test,unseen,Role of Government,0.37698781806065534,0.08532416705066928
raw_selected,5,test,unseen,Social Inequality,0.5740882605116984,-0.06053090283807662
raw_selected,5,test,unseen,Work Orientations,0.4637812324367431,0.30503297293124043
direct_calibrated,5,test,unseen,macro,0.20710240838608043,0.03487517629277663
direct_raw,5,test,unseen,macro,0.21799854348080025,-0.05215036289398126
direct_scalar,5,test,unseen,macro,0.21804589928707163,-0.06245105071231662
direct_selected,5,test,unseen,macro,0.2126856291793115,-0.009928851716568309
input_centric,5,test,unseen,macro,0.3790891195432419,0.29933295286013
input_centric_aligned,5,test,unseen,macro,0.4454004123947878,0.20183667012963383
