method,nll_k0,nll_k1,nll_k3,nll_k5,nll_k8,acc_k0,acc_k1,acc_k3,acc_k5,acc_k8,auac,rps_k5,mae_k5,n_seeds
sentence,,,,1.4492505085809635,,,,,0.35299792085255566,,0.35299792085255566,0.16044571386932882,0.25867524280884535,1
response_centric_aligned,,,,1.5005658701862994,,,,,0.3271425730168708,,0.3271425730168708,0.16003690316300753,0.2645158051803066,1
response_centric,,,,1.5353380271498338,,,,,0.32476652560922226,,0.32476652560922226,0.16547394101966967,0.2766819074535015,1
raw_mean_aligned,,,,1.548518725879039,,,,,0.3138699432589882,,0.3138699432589882,0.16842103952978946,0.2659303209469993,1
input_centric_aligned,,,,1.5486956209422247,,,,,0.29709662996179853,,0.29709662996179853,0.17165864816690238,0.2863670690654539,1
sentence_aligned,,,,1.5507549482497747,,,,,0.32540165826682677,,0.32540165826682677,0.16934570279632463,0.26922335915489004,1
raw_selected,,,,1.6101687781259022,,,,,0.29084346131396693,,0.29084346131396693,0.17591754633478782,0.28963694652335803,1
raw_mean,,,,1.6101687781259022,,,,,0.29084346131396693,,0.29084346131396693,0.17591754633478782,0.28963694652335803,1
input_centric,,,,1.6373277195215574,,,,,0.3293572941571537,,0.3293572941571537,0.16872474449142733,0.2755699624774414,1
respondent_vec,,,,1.7207393597555245,,,,,0.30049804479228637,,0.30049804479228637,0.17906868777469742,0.2928536599753243,1
direct_scalar,,,,1.725746390855646,,,,,0.23360937985235736,,0.23360937985235736,0.18387667138552632,0.3452523965383867,1
direct_selected,,,,1.8642592454111406,,,,,0.22549775832781452,,0.22549775832781452,0.1928012406983887,0.362596721708379,1
direct_calibrated,,,,1.9165537770401728,,,,,0.23053888994900232,,0.23053888994900232,0.19664164442980686,0.35694534768446284,1
raw_final,,,,2.015329883912196,,,,,0.29178961254101704,,0.29178961254101704,0.18621774143537773,0.30206882254371725,1
direct_raw,,,,4.295637506434601,,,,,0.20770468997294841,,0.20770468997294841,0.22786699832684737,0.3752122687120931,1
