method,domain,split,item_pool,metric,auac
input_centric,Environment,ood_intersection,seen,nll,1.4887517845189504
input_centric,Role of Government,ood_intersection,seen,nll,1.2417397098222236
input_centric,Social Inequality,ood_intersection,seen,nll,1.3445128165824316
input_centric,Work Orientations,ood_intersection,seen,nll,1.3951267089959067
input_centric,macro,ood_intersection,seen,nll,1.3675327549798781
raw_mean,Environment,ood_intersection,seen,nll,1.429428858160943
raw_mean,Role of Government,ood_intersection,seen,nll,1.2937203065854999
raw_mean,Social Inequality,ood_intersection,seen,nll,1.3985222344075046
raw_mean,Work Orientations,ood_intersection,seen,nll,1.33431721243001
raw_mean,macro,ood_intersection,seen,nll,1.3639971528959893
raw_selected,Environment,ood_intersection,seen,nll,1.6317247479649521
raw_selected,Role of Government,ood_intersection,seen,nll,1.4138832559447663
raw_selected,Social Inequality,ood_intersection,seen,nll,1.4914586758105959
raw_selected,Work Orientations,ood_intersection,seen,nll,1.4603018487330948
raw_selected,macro,ood_intersection,seen,nll,1.4993421321133522
response_centric,Environment,ood_intersection,seen,nll,1.4226676158765275
response_centric,Role of Government,ood_intersection,seen,nll,1.3199974431722838
response_centric,Social Inequality,ood_intersection,seen,nll,1.3552965270379203
response_centric,Work Orientations,ood_intersection,seen,nll,1.3318464750141747
response_centric,macro,ood_intersection,seen,nll,1.3574520152752265
sentence,Environment,ood_intersection,seen,nll,1.387373584568737
sentence,Role of Government,ood_intersection,seen,nll,1.2669312910260129
sentence,Social Inequality,ood_intersection,seen,nll,1.2582687829818715
sentence,Work Orientations,ood_intersection,seen,nll,1.2918730295048262
sentence,macro,ood_intersection,seen,nll,1.301111672020362
