method,nll,brier,accuracy,rps,population_wd,rows
OURS::hist_gbdt_llm_hybrid,1.4706456650772217,0.7491370128442223,0.3479108635097493,0.16233814533840712,0.11602322490983068,3590
OURS::hist_gbdt,1.4892065848189249,0.7590323992915838,0.3030640668523677,0.16741265971078867,0.12212346758598754,3590
OURS::stat_history_inductive,1.5164897969048554,0.7656430394432029,0.3317548746518106,0.17113855373931144,0.13576884646620888,3590
personadb_history_full,1.522280518488177,0.7716567161070876,0.3144846796657382,0.16851724540575325,0.1288685661755611,3590
personadb_history_retrieval,1.5243169484129935,0.7716517353166982,0.32506963788300836,0.16880033959145962,0.13135920480763472,3590
8B::pe_history,1.52541161879793,0.7687294722791559,0.3167130919220056,0.1701916716573361,0.13705779766271844,3590
personadb_nojoin,1.5260383006630736,0.7718422794595652,0.31782729805013926,0.17050552579141645,0.1307025445494893,3590
personadb_full,1.5260383006630736,0.7718422794595652,0.31782729805013926,0.17050552579141645,0.1307025445494893,3590
OURS::llm_persona_history_temperature,1.531392962111477,0.7723405041703334,0.3022284122562674,0.16852363530271458,0.1368879463853593,3590
8B::pe_demographic_behavior,1.542596451987463,0.7738175986167236,0.3041782729805014,0.170331740517249,0.13787240816901733,3590
8B::pe_shuffled_behavior,1.560729818415264,0.7833161203608178,0.27604456824512535,0.17383010745003658,0.14073968997710656,3590
8B::pe_demographic,1.5611643947378848,0.7823945687252775,0.27715877437325903,0.17013755096547725,0.13520296743689833,3590
personadb_intsum,1.5698555088870045,0.7863050451138623,0.26323119777158777,0.1782569088573752,0.1491999424341474,3590
8B::pe_no_persona,1.5834842256311563,0.7918697932717412,0.23871866295264624,0.17246357365005183,0.14306277663004946,3590
