item,family,wave,question_text,option_code,option_label,option_position,n_options,option_text,paired_coverage,entropy_nats
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,1,Gotten much better,0,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Gotten much better,0.9982347578126516,1.4684927749973486
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,2,Gotten somewhat better,1,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Gotten somewhat better,0.9982347578126516,1.4684927749973486
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,3,Stayed about the same,2,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Stayed about the same,0.9982347578126516,1.4684927749973486
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,4,Gotten somewhat worse,3,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Gotten somewhat worse,0.9982347578126516,1.4684927749973486
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,5,Gotten much worse,4,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Gotten much worse,0.9982347578126516,1.4684927749973486
CC20_302,CC20_302,source_pre,[CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure,6,Not sure varlabel: None,5,6,Question: [CC20_302] {single} Would you say that OVER THE PAST YEAR the nation's economy has ... (Allows one selection) ◯ [1] Gotten much better ◯ [2] Gotten somewhat better ◯ [3] Stayed about the same ◯ [4] Gotten somewhat worse ◯ [5] Gotten much worse ◯ [6] Not sure Response option: Not sure varlabel: None,0.9982347578126516,1.4684927749973486
CC20_303,CC20_303,source_pre,"[CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot",1,Increased a lot,0,5,"Question: [CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot Response option: Increased a lot",0.9987003161917324,1.2666130216247058
CC20_303,CC20_303,source_pre,"[CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot",2,Increased somewhat,1,5,"Question: [CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot Response option: Increased somewhat",0.9987003161917324,1.2666130216247058
CC20_303,CC20_303,source_pre,"[CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot",3,Stayed about the same,2,5,"Question: [CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot Response option: Stayed about the same",0.9987003161917324,1.2666130216247058
CC20_303,CC20_303,source_pre,"[CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot",4,Decreased somewhat,3,5,"Question: [CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot Response option: Decreased somewhat",0.9987003161917324,1.2666130216247058
