item,family,question_text,option_code,option_label,option_position,n_options,option_text,paired_coverage,entropy_nats
CC20_401,CC20_401,"CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020",1,I did not vote in the election this November.,0,5,"Question: CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020 Response option: I did not vote in the election this November.",0.940078756959128,0.2940879593805904
CC20_401,CC20_401,"CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020",2,I thought about voting this time – but didn't.,1,5,"Question: CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020 Response option: I thought about voting this time – but didn't.",0.940078756959128,0.2940879593805904
CC20_401,CC20_401,"CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020",3,"I usually vote, but didn't this time.",2,5,"Question: CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020 Response option: I usually vote, but didn't this time.",0.940078756959128,0.2940879593805904
CC20_401,CC20_401,"CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020",4,I attempted to vote but did not or could not.,3,5,"Question: CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020 Response option: I attempted to vote but did not or could not.",0.940078756959128,0.2940879593805904
CC20_401,CC20_401,"CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020",5,I definitely voted in the November 2020,4,5,"Question: CC20_401- Show if askvote == 1 or int(statefips) == 38 SINGLE CHOICE Which of the following statements best describes you? in 2020 1 ○ I did not vote in the election this November. 2 ○ I thought about voting this time – but didn't. 3 ○ I usually vote, but didn't this time. 4 ○ I attempted to vote but did not or could not. 5 ○ I definitely voted in the November 2020 Response option: I definitely voted in the November 2020",0.940078756959128,0.2940879593805904
CC20_403,CC20_403,"CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c",1,In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]),0,4,"Question: CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c Response option: In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b])",0.8932901398614964,1.08689703379166
CC20_403,CC20_403,"CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c",2,In person before election day (early),1,4,"Question: CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c Response option: In person before election day (early)",0.8932901398614964,1.08689703379166
CC20_403,CC20_403,"CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c",3,Voted by mail (or absentee),2,4,"Question: CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c Response option: Voted by mail (or absentee)",0.8932901398614964,1.08689703379166
CC20_403,CC20_403,"CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c",4,Don't know,3,4,"Question: CC20_403- Show if CC20_401 in [4,5] SINGLE CHOICE Did you vote in person _on_ Election Day, in person _before_ Election Day, or by mail (that is, absentee or vote by mail)? in person or by mail 1 ○ In person on election day (Did you vote at a precinct polling place or at a vote center? [CC20_403b]) 2 ○ In person before election day (early) 3 ○ Voted by mail (or absentee) 4 ○ Don't know 8 Skipped 9 Not Asked Page: implicit_page_CC20_403c Response option: Don't know",0.8932901398614964,1.08689703379166
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,1,Joe Biden (Democrat),0,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: Joe Biden (Democrat),0.8855502318092763,0.8346931356876407
