item,wave,paired_nonmissing,paired_coverage,n_unique,values,min,max,entropy_nats,eligible_closed_choice
CC20_300_1,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.5671056303832435,True
CC20_300_2,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.6586569515206309,True
CC20_300_3,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.6717298826851512,True
CC20_300_4,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.6099030295174943,True
CC20_300_5,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.16769500683306734,True
CC20_300a,source_pre,31908,0.6189598649880701,3,"[1.0, 2.0, 3.0]",1.0,3.0,1.0555465506027546,True
CC20_300b_1,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.65001373769766,False
CC20_300b_2,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.6254257314133922,False
CC20_300b_3,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.644900389415051,False
CC20_300b_4,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.669899096224803,False
CC20_300b_5,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.6709387907851343,False
CC20_300b_6,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.6166713805736832,False
CC20_300b_7,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.41526076935603595,False
CC20_300b_8,source_pre,23232,0.45066051095032106,2,"[1.0, 2.0]",1.0,2.0,0.3156949312971932,False
CC20_300c,source_pre,20154,0.3909526488331943,3,"[1.0, 2.0, 3.0]",1.0,3.0,0.8927275810980817,False
CC20_300d_1,source_pre,38439,0.7456499388954627,2,"[1.0, 2.0]",1.0,2.0,0.5536344572101168,True
CC20_300d_2,source_pre,38439,0.7456499388954627,2,"[1.0, 2.0]",1.0,2.0,0.6171703478295699,True
CC20_300d_3,source_pre,38439,0.7456499388954627,2,"[1.0, 2.0]",1.0,2.0,0.674999037378852,True
CC20_300d_4,source_pre,38439,0.7456499388954627,2,"[1.0, 2.0]",1.0,2.0,0.5454881326725542,True
CC20_300d_5,source_pre,38439,0.7456499388954627,2,"[1.0, 2.0]",1.0,2.0,0.5801676556094569,True
CC20_300d_6,source_pre,37292,0.7234001280285542,2,"[1.0, 2.0]",1.0,2.0,0.6131282251195984,True
CC20_302,source_pre,51460,0.9982347578126516,6,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",1.0,6.0,1.4684927749973486,True
CC20_303,source_pre,51484,0.9987003161917325,5,"[1.0, 2.0, 3.0, 4.0, 5.0]",1.0,5.0,1.2666130216247058,True
CC20_305_1,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.1290637957603295,True
CC20_305_10,source_pre,51551,1.0,2,"[1.0, 2.0]",1.0,2.0,0.46941165610577085,True
